,Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
27219,EPX,Travel Agency,Online,2 way Comprehensive Plan,29,MALAYSIA,20.0,0.0,60,0
27221,EPX,Travel Agency,Online,2 way Comprehensive Plan,17,HONG KONG,40.0,0.0,35,0
27222,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,12,SOUTH AFRICA,79.2,47.52,27,0
27223,EPX,Travel Agency,Online,2 way Comprehensive Plan,84,UNITED KINGDOM,112.0,0.0,36,0
27224,C2B,Airlines,Online,Silver Plan,40,SINGAPORE,39.0,9.75,61,0
27225,EPX,Travel Agency,Online,2 way Comprehensive Plan,108,PHILIPPINES,20.0,0.0,36,0
27227,JZI,Airlines,Online,Basic Plan,12,UNITED ARAB EMIRATES,36.0,12.6,53,0
27228,SSI,Airlines,Online,Ticket Protector,257,SINGAPORE,83.08,23.29,48,0
27229,EPX,Travel Agency,Online,Cancellation Plan,12,UNITED KINGDOM,80.0,0.0,36,0
27230,EPX,Travel Agency,Online,Cancellation Plan,10,VIET NAM,18.0,0.0,49,0
27231,EPX,Travel Agency,Online,2 way Comprehensive Plan,109,THAILAND,22.0,0.0,36,0
27232,C2B,Airlines,Online,Silver Plan,40,SINGAPORE,84.5,21.13,57,0
27233,EPX,Travel Agency,Online,Cancellation Plan,4,MALAYSIA,10.0,0.0,54,0
27234,EPX,Travel Agency,Online,Cancellation Plan,32,VIET NAM,34.0,0.0,36,0
27235,EPX,Travel Agency,Online,Cancellation Plan,14,MALAYSIA,10.0,0.0,38,0
27236,JZI,Airlines,Online,Basic Plan,11,CHINA,35.0,12.25,61,0
27237,EPX,Travel Agency,Online,1 way Comprehensive Plan,18,SINGAPORE,21.0,0.0,66,0
27238,JZI,Airlines,Online,Basic Plan,44,HONG KONG,35.0,12.25,24,0
27239,EPX,Travel Agency,Online,Cancellation Plan,12,VIET NAM,13.0,0.0,36,0
27240,EPX,Travel Agency,Online,Cancellation Plan,13,INDONESIA,10.0,0.0,31,0
27243,JZI,Airlines,Online,Basic Plan,9,MALAYSIA,18.0,6.3,39,0
27245,C2B,Airlines,Online,Annual Silver Plan,381,SINGAPORE,193.2,48.3,29,1
27246,EPX,Travel Agency,Online,1 way Comprehensive Plan,48,INDIA,20.0,0.0,21,0
27247,RAB,Airlines,Online,Value Plan,4,BRUNEI DARUSSALAM,15.0,6.0,25,0
27248,EPX,Travel Agency,Online,Cancellation Plan,36,JAPAN,42.0,0.0,36,0
27249,EPX,Travel Agency,Online,2 way Comprehensive Plan,21,THAILAND,36.0,0.0,36,0
27250,EPX,Travel Agency,Online,2 way Comprehensive Plan,11,MALAYSIA,20.0,0.0,54,0
27252,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,63,MALAYSIA,0.0,17.82,25,0
27253,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,24,GERMANY,89.1,53.46,55,0
27254,C2B,Airlines,Online,Silver Plan,5,SINGAPORE,27.0,6.75,31,0
27255,JZI,Airlines,Online,Basic Plan,5,CHINA,22.0,7.7,45,0
27256,EPX,Travel Agency,Online,Cancellation Plan,21,INDIA,22.0,0.0,36,0
27257,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,76,AUSTRALIA,99.0,59.4,38,0
27258,EPX,Travel Agency,Online,Cancellation Plan,2,PHILIPPINES,18.0,0.0,45,0
27260,EPX,Travel Agency,Online,2 way Comprehensive Plan,18,CHINA,42.0,0.0,36,0
27261,EPX,Travel Agency,Online,2 way Comprehensive Plan,29,AUSTRALIA,91.0,0.0,36,0
27262,JZI,Airlines,Online,Basic Plan,52,HONG KONG,26.0,9.1,38,0
27263,EPX,Travel Agency,Online,2 way Comprehensive Plan,48,CHINA,31.0,0.0,36,0
27264,C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,17.0,4.25,29,0
27265,EPX,Travel Agency,Online,Cancellation Plan,75,INDONESIA,10.0,0.0,46,0
27266,EPX,Travel Agency,Online,2 way Comprehensive Plan,21,CHINA,26.0,0.0,40,0
27267,JZI,Airlines,Online,Basic Plan,74,MALAYSIA,30.0,10.5,56,0
27268,EPX,Travel Agency,Online,2 way Comprehensive Plan,51,SINGAPORE,112.0,0.0,36,0
27270,C2B,Airlines,Online,Silver Plan,21,SINGAPORE,24.5,6.13,25,0
27271,EPX,Travel Agency,Online,2 way Comprehensive Plan,197,UNITED STATES,24.0,0.0,23,0
27272,EPX,Travel Agency,Online,Cancellation Plan,39,SINGAPORE,57.0,0.0,22,0
27273,C2B,Airlines,Online,Silver Plan,10,SINGAPORE,33.5,8.38,28,0
27274,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,56,NEW ZEALAND,99.0,59.4,31,0
27275,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,1,THAILAND,9.9,5.94,47,0
27277,EPX,Travel Agency,Online,Cancellation Plan,6,INDONESIA,10.0,0.0,26,0
27278,EPX,Travel Agency,Online,Cancellation Plan,88,UNITED STATES,69.0,0.0,20,0
27279,JZI,Airlines,Online,Basic Plan,5,INDONESIA,22.0,7.7,50,0
27280,EPX,Travel Agency,Online,2 way Comprehensive Plan,51,INDIA,49.0,0.0,36,0
27281,C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,46.15,11.54,39,0
27282,JZI,Airlines,Online,Basic Plan,25,HONG KONG,26.0,9.1,36,0
27284,C2B,Airlines,Online,Bronze Plan,15,SINGAPORE,16.0,4.0,29,0
27285,EPX,Travel Agency,Online,2 way Comprehensive Plan,31,HONG KONG,28.0,0.0,36,0
27286,C2B,Airlines,Online,Silver Plan,4,SINGAPORE,27.75,6.94,34,0
27287,EPX,Travel Agency,Online,2 way Comprehensive Plan,33,MALAYSIA,20.0,0.0,40,0
27289,C2B,Airlines,Online,Silver Plan,4,SINGAPORE,22.5,5.63,41,0
27290,JZI,Airlines,Online,Basic Plan,13,VIET NAM,22.0,7.7,37,0
27291,EPX,Travel Agency,Online,2 way Comprehensive Plan,23,CHINA,30.0,0.0,36,0
27292,EPX,Travel Agency,Online,Cancellation Plan,118,"TAIWAN, PROVINCE OF CHINA",24.0,0.0,36,0
27293,EPX,Travel Agency,Online,Cancellation Plan,101,JAPAN,33.0,0.0,36,0
27294,EPX,Travel Agency,Online,Cancellation Plan,24,CAMBODIA,10.0,0.0,36,0
27295,C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,39.0,9.75,28,0
27296,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,UNITED STATES,0.0,11.88,31,0
27297,C2B,Airlines,Online,Silver Plan,56,SINGAPORE,81.5,20.38,50,1
27298,EPX,Travel Agency,Online,1 way Comprehensive Plan,36,AUSTRALIA,20.0,0.0,35,0
27299,EPX,Travel Agency,Online,2 way Comprehensive Plan,72,MYANMAR,20.0,0.0,35,0
27300,EPX,Travel Agency,Online,Cancellation Plan,7,MALAYSIA,39.0,0.0,36,0
27302,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,22,MALAYSIA,29.7,17.82,42,0
27303,EPX,Travel Agency,Online,1 way Comprehensive Plan,21,"TAIWAN, PROVINCE OF CHINA",20.0,0.0,65,0
27304,EPX,Travel Agency,Online,Cancellation Plan,59,ISRAEL,22.0,0.0,36,0
27305,EPX,Travel Agency,Online,2 way Comprehensive Plan,40,CHINA,33.0,0.0,36,0
27306,EPX,Travel Agency,Online,2 way Comprehensive Plan,15,PHILIPPINES,20.0,0.0,36,0
27307,EPX,Travel Agency,Online,2 way Comprehensive Plan,87,INDONESIA,29.0,0.0,35,0
27308,EPX,Travel Agency,Online,2 way Comprehensive Plan,8,CHINA,38.0,0.0,36,0
27309,EPX,Travel Agency,Online,1 way Comprehensive Plan,34,NEW ZEALAND,20.0,0.0,36,0
27311,EPX,Travel Agency,Online,Cancellation Plan,51,SINGAPORE,10.0,0.0,75,0
27312,EPX,Travel Agency,Online,Cancellation Plan,12,SINGAPORE,46.0,0.0,36,0
27313,EPX,Travel Agency,Online,2 way Comprehensive Plan,3,THAILAND,39.0,0.0,46,0
27315,EPX,Travel Agency,Online,2 way Comprehensive Plan,12,UNITED STATES,112.0,0.0,43,0
27316,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,111,NEW ZEALAND,89.1,53.46,31,0
27317,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,82,UNITED STATES,19.8,11.88,28,0
27318,EPX,Travel Agency,Online,1 way Comprehensive Plan,32,INDIA,20.0,0.0,30,0
27319,EPX,Travel Agency,Online,1 way Comprehensive Plan,31,UNITED KINGDOM,59.0,0.0,36,0
27320,EPX,Travel Agency,Online,Cancellation Plan,31,Other,52.0,0.0,36,0
27321,EPX,Travel Agency,Online,2 way Comprehensive Plan,38,UNITED STATES,112.0,0.0,32,0
27322,EPX,Travel Agency,Online,Cancellation Plan,5,SINGAPORE,11.0,0.0,36,0
27323,EPX,Travel Agency,Online,Cancellation Plan,7,VIET NAM,13.0,0.0,36,0
27325,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,12,UNITED KINGDOM,29.7,17.82,62,0
27326,EPX,Travel Agency,Online,2 way Comprehensive Plan,10,MALAYSIA,24.0,0.0,32,0
27327,EPX,Travel Agency,Online,2 way Comprehensive Plan,14,THAILAND,22.0,0.0,36,0
27329,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,4,Other,39.6,23.76,39,0
27330,EPX,Travel Agency,Online,2 way Comprehensive Plan,151,PHILIPPINES,45.0,0.0,36,0
27331,JZI,Airlines,Online,Basic Plan,2,THAILAND,18.0,6.3,28,0
27333,C2B,Airlines,Online,Annual Silver Plan,431,SINGAPORE,252.85,63.21,66,0
27334,EPX,Travel Agency,Online,2 way Comprehensive Plan,100,JAPAN,35.0,0.0,36,0
27335,EPX,Travel Agency,Online,Cancellation Plan,270,FRANCE,80.0,0.0,36,0
27336,SSI,Airlines,Online,Ticket Protector,16,SINGAPORE,1.93,0.54,48,0
27337,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,42,MALAYSIA,29.7,17.82,42,0
27338,EPX,Travel Agency,Online,2 way Comprehensive Plan,15,MALAYSIA,21.0,0.0,36,0
27339,EPX,Travel Agency,Online,Cancellation Plan,156,SINGAPORE,50.0,0.0,36,0
27340,EPX,Travel Agency,Online,Cancellation Plan,7,MALAYSIA,28.0,0.0,27,0
27341,EPX,Travel Agency,Online,2 way Comprehensive Plan,9,HONG KONG,89.0,0.0,36,0
27342,EPX,Travel Agency,Online,Cancellation Plan,58,SINGAPORE,39.0,0.0,27,0
27344,C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,23.0,5.75,23,0
27345,EPX,Travel Agency,Online,Cancellation Plan,9,HONG KONG,18.0,0.0,36,0
27346,EPX,Travel Agency,Online,Cancellation Plan,46,SRI LANKA,20.0,0.0,36,0
27347,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,83,NETHERLANDS,29.7,17.82,43,0
27349,EPX,Travel Agency,Online,Cancellation Plan,2,BANGLADESH,14.0,0.0,36,0
27351,C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,11.5,2.88,26,0
27352,EPX,Travel Agency,Online,Cancellation Plan,4,VIET NAM,11.0,0.0,46,0
27353,TTW,Travel Agency,Offline,Individual Comprehensive Plan,368,SINGAPORE,97.0,0.0,63,0
27354,JZI,Airlines,Online,Value Plan,30,HONG KONG,83.0,29.05,46,0
27355,EPX,Travel Agency,Online,Cancellation Plan,6,MALAYSIA,10.0,0.0,54,0
27356,RAB,Airlines,Online,Value Plan,4,BRUNEI DARUSSALAM,15.0,6.0,31,0
27357,EPX,Travel Agency,Online,2 way Comprehensive Plan,4,VIET NAM,20.0,0.0,39,0
27358,C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,23.4,5.85,49,0
27359,EPX,Travel Agency,Online,Cancellation Plan,8,MYANMAR,32.0,0.0,31,0
27361,EPX,Travel Agency,Online,Cancellation Plan,20,SINGAPORE,10.0,0.0,27,0
27366,TST,Travel Agency,Offline,Travel Cruise Protect,64,THAILAND,30.0,10.5,41,0
27367,JZI,Airlines,Online,Basic Plan,33,MALAYSIA,52.0,18.2,23,0
27368,EPX,Travel Agency,Online,Cancellation Plan,47,"KOREA, REPUBLIC OF",0.0,0.0,44,0
27369,EPX,Travel Agency,Online,1 way Comprehensive Plan,83,JAPAN,20.0,0.0,36,0
27370,C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,23.5,5.88,27,0
27371,C2B,Airlines,Online,Silver Plan,29,SINGAPORE,72.0,18.0,53,0
27372,EPX,Travel Agency,Online,Cancellation Plan,142,MALAYSIA,24.0,0.0,25,0
27373,EPX,Travel Agency,Online,2 way Comprehensive Plan,3,HONG KONG,20.0,0.0,45,0
27374,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,21,AUSTRALIA,49.5,29.7,62,0
27375,JZI,Airlines,Online,Basic Plan,11,CHINA,26.0,9.1,46,0
27376,EPX,Travel Agency,Online,1 way Comprehensive Plan,8,SINGAPORE,20.0,0.0,37,0
27379,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,225,AUSTRALIA,59.4,35.64,31,0
27380,EPX,Travel Agency,Online,2 way Comprehensive Plan,12,INDONESIA,25.0,0.0,43,0
27381,JZI,Airlines,Online,Basic Plan,13,MALAYSIA,22.0,7.7,37,0
27382,JZI,Airlines,Online,Value Plan,30,UNITED STATES,121.0,42.35,40,0
27384,RAB,Airlines,Online,Value Plan,1,BRUNEI DARUSSALAM,15.0,6.0,45,0
27385,EPX,Travel Agency,Online,1 way Comprehensive Plan,2,CHINA,20.0,0.0,29,0
27386,EPX,Travel Agency,Online,Cancellation Plan,40,PHILIPPINES,13.0,0.0,36,0
27387,C2B,Airlines,Online,Silver Plan,9,SINGAPORE,41.5,10.38,27,0
27388,JZI,Airlines,Online,Basic Plan,72,MYANMAR,42.0,14.7,35,0
27389,EPX,Travel Agency,Online,2 way Comprehensive Plan,58,MALAYSIA,24.0,0.0,36,0
27391,EPX,Travel Agency,Online,Cancellation Plan,2,UNITED KINGDOM,26.0,0.0,36,0
27392,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,56,THAILAND,29.7,17.82,41,0
27395,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,MALAYSIA,0.0,23.76,53,0
27396,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,37,NORWAY,59.4,35.64,27,0
27397,EPX,Travel Agency,Online,2 way Comprehensive Plan,59,CHINA,23.0,0.0,25,0
27398,EPX,Travel Agency,Online,Cancellation Plan,76,MALAYSIA,38.0,0.0,36,0
27399,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19,AUSTRALIA,49.5,29.7,50,0
27400,EPX,Travel Agency,Online,2 way Comprehensive Plan,25,UNITED STATES,102.0,0.0,58,0
27401,EPX,Travel Agency,Online,Cancellation Plan,17,INDONESIA,13.0,0.0,34,0
27402,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,20,MALAYSIA,0.0,16.25,40,0
27403,EPX,Travel Agency,Online,2 way Comprehensive Plan,11,BRUNEI DARUSSALAM,30.0,0.0,52,0
27404,EPX,Travel Agency,Online,Cancellation Plan,38,UNITED STATES,10.0,0.0,42,0
27406,C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,57.0,14.25,31,0
27407,C2B,Airlines,Online,Silver Plan,36,SINGAPORE,88.5,22.13,33,0
27408,EPX,Travel Agency,Online,Cancellation Plan,34,CHINA,27.0,0.0,36,0
27409,EPX,Travel Agency,Online,2 way Comprehensive Plan,37,THAILAND,40.0,0.0,36,0
27410,EPX,Travel Agency,Online,Cancellation Plan,9,THAILAND,17.0,0.0,57,0
27411,C2B,Airlines,Online,Bronze Plan,39,SINGAPORE,33.5,8.38,30,0
27412,EPX,Travel Agency,Online,2 way Comprehensive Plan,70,VIET NAM,34.0,0.0,35,0
27413,EPX,Travel Agency,Online,Cancellation Plan,144,UNITED KINGDOM,11.0,0.0,36,0
27414,EPX,Travel Agency,Online,2 way Comprehensive Plan,7,INDONESIA,20.0,0.0,46,0
27415,JZI,Airlines,Online,Basic Plan,18,CHINA,0.0,9.1,52,0
27416,JZI,Airlines,Online,Basic Plan,40,PHILIPPINES,30.0,10.5,58,0
27417,TST,Travel Agency,Offline,Travel Cruise Protect,40,THAILAND,30.0,10.5,50,0
27418,CBH,Travel Agency,Offline,Comprehensive Plan,60,MALAYSIA,29.0,9.57,68,0
27420,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,AUSTRIA,49.5,29.7,26,0
27421,EPX,Travel Agency,Online,Cancellation Plan,91,Other,41.0,0.0,36,0
27424,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,12,SPAIN,49.5,29.7,60,0
27425,EPX,Travel Agency,Online,2 way Comprehensive Plan,52,PORTUGAL,112.0,0.0,36,0
27426,EPX,Travel Agency,Online,Cancellation Plan,9,INDONESIA,26.0,0.0,36,0
27427,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,21,SPAIN,178.2,106.92,50,0
27428,EPX,Travel Agency,Online,Cancellation Plan,4,CHINA,28.0,0.0,36,0
27429,JZI,Airlines,Online,Basic Plan,16,PHILIPPINES,30.0,10.5,45,0
27430,EPX,Travel Agency,Online,2 way Comprehensive Plan,112,SPAIN,86.0,0.0,36,0
27431,C2B,Airlines,Online,Gold Plan,17,SINGAPORE,27.5,6.88,69,0
27432,EPX,Travel Agency,Online,Cancellation Plan,7,VIET NAM,15.0,0.0,27,0
27433,EPX,Travel Agency,Online,2 way Comprehensive Plan,50,MACAO,20.0,0.0,65,0
27434,C2B,Airlines,Online,Bronze Plan,30,SINGAPORE,38.35,9.59,33,0
27435,C2B,Airlines,Online,Annual Gold Plan,368,SINGAPORE,278.85,69.71,38,0
27436,EPX,Travel Agency,Online,Cancellation Plan,31,Other,10.0,0.0,36,0
27437,EPX,Travel Agency,Online,Cancellation Plan,10,JAPAN,56.0,0.0,36,0
27438,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,111,AUSTRALIA,50.5,32.83,48,0
27439,EPX,Travel Agency,Online,Cancellation Plan,15,THAILAND,27.0,0.0,40,0
27440,EPX,Travel Agency,Online,Cancellation Plan,38,THAILAND,10.0,0.0,36,0
27441,C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,40.0,10.0,57,0
27443,EPX,Travel Agency,Online,Cancellation Plan,61,PHILIPPINES,21.0,0.0,36,0
27444,EPX,Travel Agency,Online,2 way Comprehensive Plan,21,CHINA,55.0,0.0,36,0
27446,EPX,Travel Agency,Online,2 way Comprehensive Plan,18,THAILAND,28.0,0.0,30,0
27448,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,46,AUSTRALIA,49.5,29.7,30,1
27449,C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,20.0,5.0,25,0
27450,EPX,Travel Agency,Online,Cancellation Plan,4,PHILIPPINES,10.0,0.0,42,0
27451,EPX,Travel Agency,Online,Cancellation Plan,39,UNITED STATES,10.0,0.0,22,0
27452,EPX,Travel Agency,Online,Cancellation Plan,6,VIET NAM,19.0,0.0,36,0
27454,EPX,Travel Agency,Online,Cancellation Plan,3,SINGAPORE,10.0,0.0,25,0
27455,EPX,Travel Agency,Online,Cancellation Plan,27,INDONESIA,16.0,0.0,42,0
27456,EPX,Travel Agency,Online,Cancellation Plan,43,THAILAND,25.0,0.0,37,0
27457,JZI,Airlines,Online,Basic Plan,14,HONG KONG,35.0,12.25,29,0
27458,JZI,Airlines,Online,Basic Plan,15,INDONESIA,18.0,6.3,42,0
27459,JZI,Airlines,Online,Basic Plan,8,VIET NAM,22.0,7.7,53,0
27460,C2B,Airlines,Online,Bronze Plan,24,SINGAPORE,17.55,4.39,36,0
27462,JZI,Airlines,Online,Basic Plan,107,CHINA,26.0,9.1,58,0
27463,C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,53.0,13.25,36,0
27464,C2B,Airlines,Online,Bronze Plan,34,SINGAPORE,53.5,13.38,36,0
27465,EPX,Travel Agency,Online,2 way Comprehensive Plan,49,UNITED KINGDOM,94.0,0.0,36,0
27466,EPX,Travel Agency,Online,Cancellation Plan,220,UNITED KINGDOM,80.0,0.0,36,0
27467,EPX,Travel Agency,Online,2 way Comprehensive Plan,227,PHILIPPINES,27.0,0.0,36,0
27468,EPX,Travel Agency,Online,Cancellation Plan,207,"TAIWAN, PROVINCE OF CHINA",31.0,0.0,36,0
27469,C2B,Airlines,Online,Silver Plan,3,SINGAPORE,30.0,7.5,32,0
27470,EPX,Travel Agency,Online,Cancellation Plan,29,AUSTRALIA,67.0,0.0,36,0
27471,EPX,Travel Agency,Online,Cancellation Plan,77,SINGAPORE,62.0,0.0,36,0
27474,EPX,Travel Agency,Online,Cancellation Plan,61,BANGLADESH,38.0,0.0,36,0
27475,C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,20.0,5.0,41,0
27477,EPX,Travel Agency,Online,2 way Comprehensive Plan,45,UNITED STATES,112.0,0.0,43,0
27478,EPX,Travel Agency,Online,Cancellation Plan,19,UNITED STATES,10.0,0.0,31,0
27479,RAB,Airlines,Online,Value Plan,0,BRUNEI DARUSSALAM,15.0,6.0,53,0
27480,JZI,Airlines,Online,Basic Plan,212,CANADA,35.0,12.25,41,0
27481,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,12,UNITED KINGDOM,79.2,47.52,28,0
27482,C2B,Airlines,Online,Silver Plan,24,SINGAPORE,88.5,22.13,44,0
27483,EPX,Travel Agency,Online,2 way Comprehensive Plan,11,HONG KONG,43.0,0.0,36,0
27484,EPX,Travel Agency,Online,Cancellation Plan,5,CHINA,10.0,0.0,65,0
27485,EPX,Travel Agency,Online,2 way Comprehensive Plan,23,SPAIN,84.0,0.0,36,0
27487,SSI,Airlines,Online,Ticket Protector,99,SINGAPORE,12.35,3.46,48,0
27488,EPX,Travel Agency,Online,2 way Comprehensive Plan,3,"KOREA, REPUBLIC OF",26.0,0.0,36,0
27489,C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,31,0
27490,EPX,Travel Agency,Online,Cancellation Plan,2,THAILAND,12.0,0.0,27,0
27491,EPX,Travel Agency,Online,Cancellation Plan,16,PHILIPPINES,22.0,0.0,36,0
27492,EPX,Travel Agency,Online,Cancellation Plan,2,MALAYSIA,19.0,0.0,35,0
27493,EPX,Travel Agency,Online,Cancellation Plan,2,MALAYSIA,10.0,0.0,57,0
27494,SSI,Airlines,Online,Ticket Protector,19,SINGAPORE,3.82,1.07,48,0
27495,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,19,"KOREA, REPUBLIC OF",19.8,11.88,30,0
27499,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,THAILAND,49.5,29.7,50,0
27500,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,6,"KOREA, REPUBLIC OF",39.6,23.76,35,0
27501,JZI,Airlines,Online,Basic Plan,17,CHINA,26.0,9.1,47,0
27505,JZI,Airlines,Online,Value Plan,36,GERMANY,167.0,58.45,44,0
27506,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,55,UNITED KINGDOM,48.0,31.2,30,0
27507,EPX,Travel Agency,Online,Cancellation Plan,24,UNITED STATES,46.0,0.0,31,0
27508,EPX,Travel Agency,Online,2 way Comprehensive Plan,13,CHINA,39.0,0.0,36,0
27509,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,41,"TAIWAN, PROVINCE OF CHINA",59.4,35.64,60,0
27511,JZI,Airlines,Online,Basic Plan,4,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,41,0
27513,EPX,Travel Agency,Online,Cancellation Plan,3,UNITED STATES,53.0,0.0,46,0
27514,EPX,Travel Agency,Online,2 way Comprehensive Plan,23,HONG KONG,25.0,0.0,65,0
27515,EPX,Travel Agency,Online,2 way Comprehensive Plan,129,CHINA,40.0,0.0,36,0
27516,C2B,Airlines,Online,Bronze Plan,33,SINGAPORE,33.5,8.38,25,0
27517,JZI,Airlines,Online,Basic Plan,15,CHINA,26.0,9.1,26,0
27518,JZI,Airlines,Online,Basic Plan,27,PHILIPPINES,22.0,7.7,32,0
27519,EPX,Travel Agency,Online,Cancellation Plan,8,JAPAN,31.0,0.0,36,0
27520,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,AUSTRALIA,49.5,29.7,47,0
27521,C2B,Airlines,Online,Silver Plan,6,SINGAPORE,18.5,4.63,33,0
27523,EPX,Travel Agency,Online,2 way Comprehensive Plan,16,CHINA,38.0,0.0,36,0
27524,EPX,Travel Agency,Online,Cancellation Plan,6,THAILAND,17.0,0.0,42,0
27525,EPX,Travel Agency,Online,Cancellation Plan,22,HONG KONG,29.0,0.0,36,0
27526,C2B,Airlines,Online,Bronze Plan,15,SINGAPORE,20.0,5.0,60,0
27527,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,93,AUSTRALIA,39.6,23.76,30,0
27528,JZI,Airlines,Online,Value Plan,27,UNITED STATES,121.0,42.35,47,0
27529,EPX,Travel Agency,Online,Cancellation Plan,5,THAILAND,14.0,0.0,38,0
27530,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,22,AUSTRALIA,39.6,23.76,48,0
27531,EPX,Travel Agency,Online,2 way Comprehensive Plan,7,INDONESIA,20.0,0.0,24,0
27533,EPX,Travel Agency,Online,Cancellation Plan,155,UNITED STATES,128.0,0.0,28,0
27534,EPX,Travel Agency,Online,Cancellation Plan,94,MYANMAR,10.0,0.0,36,0
27535,EPX,Travel Agency,Online,2 way Comprehensive Plan,155,INDONESIA,20.0,0.0,36,0
27536,EPX,Travel Agency,Online,2 way Comprehensive Plan,27,JAPAN,36.0,0.0,36,0
27537,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,"KOREA, REPUBLIC OF",29.7,17.82,40,0
27539,EPX,Travel Agency,Online,Cancellation Plan,273,CANADA,71.0,0.0,31,0
27540,EPX,Travel Agency,Online,Cancellation Plan,30,MACAO,17.0,0.0,65,0
27541,EPX,Travel Agency,Online,2 way Comprehensive Plan,66,THAILAND,21.0,0.0,36,0
27542,EPX,Travel Agency,Online,Cancellation Plan,7,VIET NAM,21.0,0.0,36,0
27543,EPX,Travel Agency,Online,2 way Comprehensive Plan,13,JAPAN,49.0,0.0,22,0
27546,EPX,Travel Agency,Online,2 way Comprehensive Plan,9,THAILAND,101.0,0.0,36,0
27547,C2B,Airlines,Online,Silver Plan,42,SINGAPORE,49.0,12.25,33,0
27548,EPX,Travel Agency,Online,Cancellation Plan,39,ITALY,80.0,0.0,36,0
27549,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,8,THAILAND,39.6,23.76,46,0
27550,C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,40.0,10.0,27,0
27551,JZI,Airlines,Online,Basic Plan,34,HONG KONG,35.0,12.25,26,0
27552,EPX,Travel Agency,Online,Cancellation Plan,27,INDIA,40.0,0.0,36,0
27553,EPX,Travel Agency,Online,1 way Comprehensive Plan,30,CHINA,25.0,0.0,36,0
27554,EPX,Travel Agency,Online,Cancellation Plan,33,THAILAND,13.0,0.0,33,0
27556,EPX,Travel Agency,Online,Cancellation Plan,58,NETHERLANDS,10.0,0.0,36,0
27557,EPX,Travel Agency,Online,2 way Comprehensive Plan,12,CHINA,39.0,0.0,36,0
27558,EPX,Travel Agency,Online,1 way Comprehensive Plan,22,CAMBODIA,20.0,0.0,24,0
27559,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,21,CANADA,0.0,5.94,42,0
27561,JZI,Airlines,Online,Basic Plan,167,PHILIPPINES,22.0,7.7,55,0
27562,ART,Airlines,Online,24 Protect,29,MALAYSIA,16.93,5.93,53,0
